Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0805,2,100nF/100V,C28233
"C10, C14, C20",0402,3,1uF/25V,C52923
"C11, C13, C16, C17, C18, C23, C27, C29",0402,8,100nF/50V,C307331
"C12, C15, C19, C25, C6",0603,5,10uF/10V,C19702
C2,CP_Elec_8x10.5,1,22uF/100V,C178570
C21,0402,1,470pF/50V,C1537
C22,1206,1,1nF/2kV,C3013812
"C24, C8, C9",1206,3,22uF/10V,C5672
C28,0402,1,10nF/50V,
C4,0603,1,12pF/50V,C38523
C5,CP_Elec_8x10.5,1,470uF/16V,C96179
C7,0402,1,22pF/50V,C1555
D1,D_SMA,1,SMAJ58A,C132936
D2,D_SMA,1,SS510,C65010
"D3, D4",D_SMA,2,SS34,C8678
D5,0603,1,GREEN,C72043
D6,SOT-23-5,1,ESDS314DBV,C1847859
F1,1206,1,500mA,C151133
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0,C2765186
J2,RJ45_HanRun_HY931147C,1,RJ45 JACK,C91754
J3,TerminalBlock_Dibo_DB141R-2.54-2P_1x02_P2.54mm_Horizontal,1,PT1000 RTD,C2898754
L1,L_12x12mm_h6mm,1,"33uH/2,1A",C169386
L2,L_3x3mm_h1.5mm,1,"2,2uH/1,5A",C370424
L3,0805,1,2A/600R,C139168
Q1,SOT-363_SC-70-6,1,UMH3N,C62892
Q2,SOT-23,1,WPM2015-3/TR,C558305
Q3,SOT-23,1,LMUN2211LT1G,C150229
R1,0402,1,"130k/62,5mW",C93946
R10,0603,1,"52,3k/100mW",C185323
R11,0603,1,820R/100mW,C23253
R12,0805,1,"100k/0,125W",C149504
R13,0805,1,"22,1k/0,125W",C17552
"R14, R15",0402,2,"5,1k/62,5mW",C105872
"R16, R17, R18, R19, R2, R23",0402,6,"10k/62,5mW",C60490
R20,0402,1,"12,1k/62,5mW",C25852
"R21, R22",0402,2,"330R/62,5mW",C25104
R24,0402,1,"1k/62,5mW",C11702
R25,0603,1,"4,02k/100mW",C705863
R3,0402,1,"180k/62,5mW",C138046
R4,0603,1,"4,42k/100mW",C482858
R5,0402,1,"30,1k/62,5mW",C138009
R6,2512,1,"4,7k/1W",C878291
R7,1206,1,30mR/250mW,C473665
R8,0603,1,"5,1R/100mW",C25197
R9,0603,1,300k/100mW,C23024
"RN1, RN2",R_Array_Convex_4x0402,2,"4x2,2k/62,5mW",C728724
RN3,R_Array_Convex_4x0402,1,"4x49,9R/62,5mW",C136850
SW1,SW_SPST_TL3342,1,RESET,C318884
U1,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm_ThermalVias,1,TPS2376DDAR-H,C544899
U2,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.81mm_ThermalVias,1,TX4138,C329267
U3,SOT-23-5_Shorter_Pins,1,SY8089A1AAC,C479074
U4,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,C84681
U5,ESP32-WROOM-32,1,ESP32-WROOM-32E-N4,C701341
U6,QFN-32-1EP_5x5mm_P0.5mm_EP3.3x3.3mm_ThermalVias,1,LAN8710A,C46185
U8,TQFN-20-1EP_5x5mm_P0.65mm_EP3.25x3.25mm_ThermalVias,1,MAX31865xTP,C118474
