Designator,Mid X,Mid Y,Rotation,Layer
C1,45.25,5.95,270.0,top
C10,20.5,3.52,270.0,top
C11,20.5,5.98,90.0,top
C12,7.725,15.75,180.0,top
C13,8.27,17.25,180.0,top
C14,4.5,39.98,90.0,top
C15,28.0,41.225,270.0,top
C16,29.5,30.73,90.0,top
C17,34.73,42.75,0.0,top
C18,28.25,30.73,90.0,top
C19,35.025,41.5,0.0,top
C2,60.9,7.7,90.0,top
C20,37.48,36.75,0.0,top
C21,37.48,37.75,0.0,top
C22,39.5,6.5,270.0,top
C23,20.5,17.52,270.0,top
C24,37.0,27.025,270.0,top
C25,30.5,24.025,270.0,top
C27,4.23,24.5,0.0,top
C28,3.98,15.5,0.0,top
C29,4.23,23.5,0.0,top
C3,51.25,19.95,90.0,top
C4,47.475,16.0,180.0,top
C5,45.0,33.7,90.0,top
C6,63.5,40.775,90.0,top
C7,53.75,42.02,270.0,top
C8,42.0,41.025,270.0,top
C9,48.0,41.025,270.0,top
D1,42.5,7.0,270.0,top
D2,50.5,25.5,90.0,top
D3,61.0,33.0,270.0,top
D4,57.25,33.0,270.0,top
D5,52.4625,35.5,0.0,top
D6,35.3625,31.2,0.0,top
F1,52.6,31.0,180.0,top
J1,14.45,4.94,0.0,top
J2,29.71,11.225,0.0,top
J3,3.27,7.96,0.0,top
L1,59.0,21.95,270.0,top
L2,51.25,41.35,90.0,top
L3,30.5,27.3125,90.0,top
Q1,19.65,21.2,270.0,top
Q2,33.5,27.45,0.0,top
Q3,33.5,24.05,180.0,top
R1,54.01,9.5,180.0,top
R10,44.5,16.0,180.0,top
R11,53.925,34.0,180.0,top
R12,55.25,41.5875,270.0,top
R13,57.25,41.5875,90.0,top
R14,8.26,14.5,0.0,top
R15,20.5,15.01,90.0,top
R16,5.5,40.01,270.0,top
R17,21.99,20.75,180.0,top
R18,5.24,25.5,0.0,top
R19,29.25,41.74,90.0,top
R2,51.99,9.5,180.0,top
R20,36.76,33.5,0.0,top
R21,39.0,19.49,90.0,top
R22,39.5,2.01,90.0,top
R23,37.5,23.51,90.0,top
R24,36.5,23.51,270.0,top
R25,2.0,24.575,90.0,top
R3,49.99,9.5,0.0,top
R4,47.0,5.825,270.0,top
R5,48.25,5.51,270.0,top
R6,47.2875,12.5,180.0,top
R7,46.2875,26.0,0.0,top
R8,49.5,19.825,270.0,top
R9,50.675,16.0,180.0,top
RN1,31.28,41.75,180.0,top
RN2,37.5,39.47,90.0,top
RN3,31.0,31.03,270.0,top
SW1,13.9,20.15,180.0,top
U1,52.5625,5.845,270.0,top
U2,45.845,21.025,180.0,top
U3,60.7,41.55,180.0,top
U4,14.445,13.225,0.0,top
U5,16.25,32.98,0.0,top
U6,32.5625,36.75,270.0,top
U8,4.1875,19.7,0.0,top
